moving_x,moving_y,reference_x,reference_y
241.554,572.292,241.589,572.259
191.316,733.820,191.289,733.779
327.939,604.001,328.023,604.099
400.984,465.375,401.014,465.486
184.770,319.486,184.754,319.358
261.337,757.259,261.377,757.325
311.073,577.772,311.191,577.806
215.266,720.040,215.182,720.143
235.782,423.190,235.479,422.687
237.136,717.729,237.096,717.730
340.405,344.633,340.453,344.595
190.572,482.819,190.559,482.818
250.717,638.501,250.710,638.510
184.849,649.062,184.788,649.096
263.786,444.540,263.801,444.214
411.952,492.090,411.886,492.040
382.269,727.490,382.342,727.587
177.948,480.854,177.841,480.840
269.144,392.836,269.192,392.752
429.524,675.974,429.471,675.994
187.850,468.164,187.687,468.328
423.632,667.013,423.664,666.985
159.095,750.211,159.105,750.031
341.233,792.413,341.123,792.395
308.007,419.032,307.858,419.026
280.009,364.007,279.971,363.972
425.979,653.942,426.036,653.899
171.584,601.311,171.564,601.348
191.383,747.773,191.317,747.809
413.456,604.591,413.386,604.551
204.659,338.920,204.683,338.922
452.482,557.648,452.461,557.652
311.629,391.063,311.564,391.082
244.144,483.957,244.149,483.983
303.988,766.166,304.002,766.189
232.813,638.951,232.797,638.983
167.932,477.397,167.886,477.180
413.139,407.956,413.231,407.966
359.520,388.683,359.542,388.586
320.746,400.816,320.861,400.790
182.425,303.430,182.412,303.423
276.852,442.489,276.836,442.531
357.934,632.138,357.956,632.098
336.377,356.603,336.334,356.478
222.668,572.829,222.797,572.791
361.897,385.854,361.955,385.868
267.275,758.224,267.248,758.238
146.115,718.925,146.147,718.844
161.107,370.435,160.959,370.462
285.989,534.426,285.923,534.315
316.063,774.525,316.090,774.516
259.514,529.609,259.553,529.603
328.032,608.930,328.059,609.008
413.289,556.564,413.223,556.835
369.291,610.406,369.239,610.455
195.471,361.178,195.457,361.139
340.405,344.633,340.453,344.595
321.988,372.739,322.079,372.763
448.710,643.192,448.733,643.194
330.369,797.564,330.398,797.499
307.000,392.486,307.011,392.431
157.891,539.791,157.908,539.797
197.053,385.940,197.037,385.930
342.993,778.931,343.030,778.932
453.164,634.254,453.169,634.303
129.888,736.607,129.921,736.638
233.548,725.145,233.541,725.131
227.932,609.901,227.822,609.906
426.425,736.021,426.230,736.162
206.225,399.550,206.041,399.800
334.908,397.590,334.858,397.561
437.581,681.796,437.591,681.764
351.186,764.018,351.243,763.979
235.554,705.635,235.549,705.671
314.576,310.316,314.551,310.366
319.099,325.144,319.087,325.054
318.788,427.868,318.889,427.790
348.912,674.987,348.866,674.994
176.931,527.007,177.013,527.422
371.059,581.389,370.939,581.378
416.173,574.715,416.099,574.602
340.405,344.633,340.453,344.595
428.947,509.958,428.972,509.906
185.229,377.229,185.108,377.224
190.075,401.898,190.014,401.895
165.365,724.103,165.384,724.136
401.844,574.829,401.824,574.921
429.679,646.005,429.627,646.000
165.230,548.682,165.144,548.694
173.634,488.126,173.484,488.174
171.370,482.762,171.411,482.692
237.136,717.729,237.096,717.730
336.069,801.873,336.031,801.924
394.186,507.060,394.204,507.250
300.676,762.774,300.669,762.815
316.292,787.841,316.319,787.872
135.250,621.586,135.166,621.548
152.349,586.063,152.450,585.940
328.032,608.930,328.059,609.008
334.657,328.065,334.677,328.125
454.177,621.856,454.197,621.889
365.567,671.506,365.668,671.512
138.509,535.330,138.409,535.354
190.075,401.898,190.014,401.895
229.900,642.057,229.979,642.066
224.726,579.791,224.751,579.777
147.896,525.975,147.856,525.893
266.438,586.836,266.620,586.785
340.527,366.203,340.304,365.815
377.258,399.073,377.021,399.019
127.153,642.733,127.133,642.695
206.225,399.550,206.041,399.800
271.594,353.955,271.636,353.950
155.342,565.503,155.289,565.539
225.304,336.614,225.275,336.605
195.404,714.343,195.540,714.330
179.498,660.389,179.473,660.393
376.044,578.171,375.965,578.178
296.997,555.551,297.080,555.716
311.270,475.465,311.399,475.327
370.827,617.323,370.579,617.459
399.731,745.776,399.701,745.719
158.027,740.900,158.069,740.804
441.489,514.645,441.491,514.652
237.136,717.729,237.096,717.730
188.123,802.483,188.146,802.483
423.851,773.151,424.005,773.198
242.691,476.786,242.704,476.791
132.990,403.579,132.963,403.596
326.676,707.729,326.592,707.604
