match_index,moving_keypoint_index,reference_keypoint_index,moving_x_px,moving_y_px,reference_x_px,reference_y_px,descriptor_distance,is_ransac_inlier
214,328,473,27.0500545501709,151.21664428710938,26.836421966552734,151.39024353027344,104.0672836303711,1
215,2447,13483,148.92564392089844,221.02023315429688,148.90113830566406,221.61978149414062,110.6209716796875,1
216,768,1032,54.36064910888672,211.17784118652344,53.686607360839844,210.59066772460938,111.17103576660156,1
217,2408,2963,146.5825958251953,186.7118377685547,146.00350952148438,187.30836486816406,114.83030700683594,1
218,2724,3343,162.8183135986328,232.19619750976562,163.6078338623047,230.55088806152344,115.61141967773438,1
219,2755,3365,164.8486785888672,199.59259033203125,164.7364959716797,199.51177978515625,118.4145278930664,1
220,2479,3037,150.6046142578125,246.9396514892578,149.788330078125,248.43589782714844,120.44500732421875,1
221,364,525,29.444372177124023,216.09207153320312,29.45041847229004,216.58497619628906,124.59935760498047,1
222,2654,3242,159.3871612548828,204.46473693847656,159.3560028076172,204.83355712890625,125.7099838256836,1
223,2763,3373,165.37826538085938,190.939697265625,164.9530487060547,190.9663543701172,126.88577270507812,1
224,2764,3374,165.37826538085938,190.939697265625,164.9530487060547,190.9663543701172,129.33290100097656,1
225,3020,3698,178.2602996826172,226.48471069335938,179.2709197998047,227.80691528320312,131.06105041503906,1
226,474,661,36.83081817626953,224.01358032226562,36.39304733276367,223.49195861816406,131.14495849609375,1
227,359,511,29.29363441467285,175.67901611328125,28.702659606933594,175.50186157226562,131.17164611816406,1
228,526,716,40.0234375,247.97210693359375,39.182090759277344,247.27127075195312,138.7083282470703,1
229,363,8361,29.430450439453125,196.73867797851562,28.281526565551758,195.95156860351562,143.1467742919922,1
230,522,733,39.74760437011719,130.60504150390625,39.91628646850586,130.1106414794922,143.2445526123047,1
231,1134,1480,77.25794219970703,240.28147888183594,77.47555541992188,240.39076232910156,143.73239135742188,1
232,2519,3081,151.97116088867188,231.94076538085938,152.02989196777344,231.3992919921875,145.6983184814453,1
233,3640,4462,216.37661743164062,178.71604919433594,216.62139892578125,178.0404815673828,145.7292022705078,1
234,352,510,28.871530532836914,143.0215606689453,28.64743423461914,143.06890869140625,147.5771026611328,1
235,2653,3241,159.3871612548828,204.46473693847656,159.3560028076172,204.83355712890625,148.38462829589844,1
