inlier_index,moving_keypoint_index,reference_keypoint_index,moving_x_px,moving_y_px,reference_x_px,reference_y_px,projected_reference_x_px,projected_reference_y_px,reprojection_error_px,descriptor_distance
112,8286,6291,824.5252685546875,94.92352294921875,824.5140380859375,95.69676208496094,824.38427734375,94.83352661132812,0.872933750722881,99.34786987304688
113,1740,5959,812.8935546875,97.00820922851562,813.0308227539062,96.977294921875,812.7546997070312,96.91670989990234,0.2826914959862795,101.05938720703125
114,6503,7643,893.6373291015625,17.711416244506836,893.3921508789062,19.081390380859375,893.4699096679688,17.63144302368164,1.4520309114695744,101.6513671875
115,3144,12200,804.0311889648438,101.31922912597656,804.9087524414062,101.88138580322266,803.8944091796875,101.22665405273438,1.2072969467747698,103.94710540771484
116,7466,10821,852.0376586914062,36.20778274536133,851.6571655273438,36.374488830566406,851.8814697265625,36.121429443359375,0.33815887869574396,108.62319946289062
117,6262,9610,901.2213745117188,100.4976806640625,901.075927734375,100.39881896972656,901.0682983398438,100.41780853271484,0.020464876334817382,112.964599609375
118,7661,10949,846.5903930664062,16.188016891479492,846.6476440429688,16.807395935058594,846.4314575195312,16.101091384887695,0.738649260818765,113.96929168701172
119,10387,4143,748.9515380859375,53.96377182006836,749.14501953125,53.908382415771484,748.814208984375,53.86280822753906,0.33393506038866416,117.69451904296875
120,7869,6715,838.7225341796875,110.3762435913086,838.6561889648438,110.3487319946289,838.5820922851562,110.288330078125,0.09559659752343092,119.08820343017578
121,11089,3888,741.341064453125,126.24050903320312,741.0687255859375,126.49604797363281,741.216796875,126.14067077636719,0.3849909855840801,119.54078674316406
122,10595,4056,746.9952392578125,17.786334991455078,746.633544921875,17.202293395996094,746.85205078125,17.684627532958984,0.5295196221680022,120.6689682006836
123,8148,11325,829.473388671875,122.78456115722656,829.6337280273438,122.95277404785156,829.336669921875,122.6957015991211,0.3928482683186506,122.47856903076172
124,8461,4689,767.3244018554688,117.6376953125,767.2515869140625,117.75830841064453,767.1954956054688,117.54081726074219,0.2246077362550165,125.31560516357422
125,11016,3912,742.2666015625,44.57231521606445,741.401123046875,43.01154327392578,742.1285400390625,44.47024154663086,1.6300110831880523,131.21737670898438
